城市,AQI,PM10,PM2.5
三亚,37.8920,34.3352,18.0914
海口,40.9557,39.8393,21.8726
兴安盟,48.0000,42.0000,32.0000
湛江,48.3324,46.2687,27.7756
玉溪,50.9529,51.7701,29.4460
深圳,53.4709,55.5235,32.4155
汕尾,53.9418,46.7618,32.6981
云浮,54.2964,53.1191,31.7978
舟山,55.2936,48.1939,29.1524
珠海,56.0416,54.1717,33.3601
厦门,56.0831,56.7147,35.3823
昆明,56.7285,63.4681,32.0388
阿拉善盟,57.0000,58.0000,36.0000
惠州,57.2521,57.2188,34.3767
泉州,57.2687,64.4875,31.6122
拉萨,57.4792,56.3823,23.1219
阳江,57.5845,55.9945,36.4488
茂名,57.7535,55.9723,37.4958
北海,57.9611,57.8056,30.2194
中山,58.1607,55.4349,37.4266
曲靖,58.2521,59.3961,34.4543
福州,58.8006,62.5097,31.5512
梅州,60.5097,60.3906,38.0332
河源,60.7839,58.9529,39.8033
汕头,61.3047,62.3269,38.9252
齐齐哈尔,63.0194,62.8449,36.7008
大庆,64.3955,61.8524,42.0306
清远,66.0914,63.3463,41.9446
江门,66.1330,66.3823,43.2438
攀枝花,66.5540,80.7729,38.1911
佛山,66.6371,65.7396,43.9945
贵阳,66.8366,68.2216,45.1108
鄂尔多斯,66.9141,69.7673,26.6150
丽水,67.1025,65.5152,43.5402
张家口,68.1468,73.9861,34.0970
台州,68.5983,70.2687,45.8726
温州,68.5983,74.9612,45.8781
东莞,69.0388,59.3324,43.4820
九江,69.3019,79.7839,42.1939
克拉玛依,69.3795,76.2992,38.0554
广州,70.0471,68.2105,47.2299
韶关,70.2327,67.5845,47.6898
宁波,70.5512,71.8532,45.2881
潮州,70.7618,60.0803,48.1828
营口,70.8560,71.7008,39.7507
南宁,73.2438,81.3435,47.6787
揭阳,73.9889,66.7812,49.5706
威海,73.9917,73.9169,40.3241
丹东,74.5069,82.2853,47.5374
南昌,74.9141,79.9141,50.7008
大同,77.1053,92.3601,41.6066
肇庆,78.4072,77.1551,53.7341
大连,78.4404,84.9169,51.7147
绵阳,79.0831,81.4211,54.8033
常熟,79.1690,75.6233,53.4986
荣成,79.2750,73.6222,45.6361
烟台,79.8892,80.9391,50.7950
昆山,79.9391,85.9861,52.9917
遵义,80.2825,90.4654,55.9529
衢州,80.6593,77.3047,56.5042
蓬莱,80.9141,81.1080,48.6898
文登,81.8781,71.2936,50.6510
银川,82.2687,103.8726,46.1939
即墨,82.3463,87.4238,50.7285
海门,82.7933,81.5447,53.0112
乳山,83.5235,69.1939,53.9307
嘉兴,83.5238,81.4790,55.9188
牡丹江,84.9169,90.3546,56.9751
赤峰,85.3684,109.9751,46.1801
太仓,85.5069,85.6898,57.1856
张家界,85.5180,86.7341,59.3186
本溪,85.7202,96.7507,56.8144
桂林,85.8061,80.9003,61.9197
义乌,85.9751,93.2742,59.9584
宜兴,86.4044,82.3629,58.1524
盘锦,86.8006,85.7590,56.8560
盐城,87.1496,92.2992,57.7036
吴江,87.5346,96.5485,58.8781
金昌,87.5845,117.9307,40.1524
杭州,87.6454,94.7230,60.8753
临汾,87.7922,94.6953,61.4155
葫芦岛,87.8199,104.2133,54.5346
德阳,87.8283,91.3075,60.6953
呼和浩特,88.0277,115.3573,43.3463
章丘,88.9612,86.1330,58.1053
富阳,89.0194,98.8222,62.3222
湖州,89.1302,86.2327,62.5596
延安,89.2964,114.0166,48.2493
抚顺,89.3407,102.3573,56.0970
金坛,89.4931,89.9723,59.2992
泸州,89.5097,91.0914,63.7368
青岛,89.5374,107.0139,54.6537
南通,89.7313,93.8255,61.1717
绍兴,89.7354,92.3315,62.5487
承德,89.7368,107.7645,52.8144
吉林,89.8227,97.8172,59.7452
金华,90.2715,81.8144,63.6676
宜宾,90.6066,97.5512,64.7673
兰州,92.0166,120.6787,57.4571
胶州,92.1191,97.6731,60.0637
瓦房店,92.1413,77.4072,61.6759
柳州,92.6399,93.3712,65.9917
岳阳,92.8227,132.5540,56.9058
苏州,92.8227,90.0166,65.6011
招远,92.9307,102.2825,61.1994
嘉峪关,93.1939,125.0997,35.3130
常德,93.2604,97.7368,67.6981
西宁,93.5291,117.9363,60.9557
芜湖,93.5374,101.6094,67.1828
溧阳,93.5651,101.4349,63.2687
莱西,93.6205,93.1662,60.9972
秦皇岛,93.8670,114.7507,58.5319
临安,94.0028,105.8089,62.4127
石嘴山,94.4377,123.2992,48.9418
