城市,AQI,PM10,PM2.5
衡阳,74.5625,76.4062,50.0688
绥化,74.6125,78.8312,45.0250
即墨,75.0187,81.6375,39.0312
黄石,75.0312,83.3937,50.2250
长春,75.1625,79.5000,43.0438
甘南,75.3812,86.5875,37.5688
南通,75.7875,70.5938,47.6938
鞍山,75.7938,82.0187,43.8000
七台河,75.9375,81.9813,40.1375
锡林郭勒,76.2375,103.7250,21.6438
青岛,76.6000,85.0250,41.3563
邵阳,76.7000,75.2000,52.5750
资阳,76.7750,87.3500,42.9875
太仓,76.8312,75.5187,45.3062
常州,77.1000,79.6250,52.9625
内江,77.1500,77.8563,49.1562
松原,77.1813,89.9188,36.4625
吉林,77.9188,78.0750,45.8687
莱西,77.9750,84.0875,45.0750
胶州,78.2938,82.2625,46.7375
宣城,78.3625,71.4750,52.4750
雅安,78.7562,83.0938,54.8188
南充,78.7625,85.0938,52.3750
昆山,78.8625,75.8563,46.2188
秦皇岛,79.0125,90.1188,43.4750
天水,79.0187,94.6750,42.0375
黄南,79.0250,95.9250,37.2625
盐城,79.8000,84.6125,49.9250
嘉兴,79.8375,77.1813,49.8875
吴江,80.0625,88.6562,47.4562
长沙,80.2062,66.6000,52.7125
辽阳,80.2188,78.5687,45.2500
湘潭,80.2625,84.5438,52.3250
眉山,80.2625,84.5563,48.2437
黄冈,80.3500,89.9062,49.2750
达州,80.3625,84.6063,53.8687
平度,80.5000,90.1562,43.8625
常熟,80.8625,81.2125,52.7563
岳阳,80.9562,85.2687,51.9062
六安,80.9750,88.9562,50.5938
平凉,81.1875,101.8063,37.4875
随州,81.2250,87.9625,51.0812
池州,81.4250,80.0812,54.5750
承德,81.7938,101.0438,35.8813
鄂州,82.0375,88.2750,54.6000
沈阳,82.1188,87.9625,48.3875
苏州,82.3812,85.6937,51.5250
盘锦,82.8500,76.5000,46.2500
铁岭,82.8563,87.9500,47.7250
阜新,82.9875,87.7375,43.7375
铜陵,83.0125,87.1625,57.2500
莱州,83.2562,104.1750,40.0625
孝感,83.7625,89.3250,51.8000
胶南,84.2938,90.7500,47.0688
临夏,84.3250,107.8812,45.0312
无锡,84.6000,92.4688,52.4750
朝阳,84.6312,90.4250,43.9438
哈密,84.8312,102.8750,30.9125
汉中,85.0625,90.1875,55.2500
营口,85.4125,82.7625,48.0125
溧阳,85.4625,76.9250,56.0938
延安,85.4938,108.1625,41.9312
葫芦岛,85.6000,88.4875,49.8750
抚顺,85.6375,87.8937,51.1000
安庆,85.8812,81.1125,56.5875
张家口,86.0500,120.5125,35.4375
湖州,86.1500,89.9188,62.2188
绍兴,86.2188,115.0062,44.9875
大同,86.6500,107.0563,40.8438
庆阳,86.6562,107.8438,39.4312
南京,87.1000,95.4938,53.2500
张家港,87.3438,94.6688,51.6437
合肥,87.7812,78.9750,56.3250
武汉,87.8438,87.0062,55.1437
巴彦淖尔,88.0625,120.5312,36.8875
成都,88.0750,97.7250,58.1750
哈尔滨,88.6188,83.7562,55.4937
荆州,88.6188,101.0625,57.3937
四平,88.8500,96.6750,51.8062
鄂尔多斯,88.8563,119.2125,30.9438
日照,89.0875,101.2687,52.7500
银川,89.3187,118.3375,41.0938
德阳,89.5375,104.4562,55.1812
锦州,89.8625,90.4562,53.4500
绵阳,90.1375,98.2812,59.8937
伊犁,90.3812,86.3812,57.1375
张掖,90.7687,120.1500,39.6437
宜兴,90.8625,78.9000,57.6437
马鞍山,90.9375,94.9625,58.4875
嘉峪关,91.6500,129.3250,31.4000
宜宾,92.2438,96.5000,62.6437
榆林,92.4437,120.3125,43.5063
阿拉善盟,92.6813,118.1000,40.8563
海东,93.0187,120.5000,48.3375
金坛,93.1000,92.9938,57.9188
泰州,93.2750,98.2625,60.9937
廊坊,93.5187,112.7562,54.0688
阜阳,93.7375,98.7250,60.4875
滁州,94.1937,101.6188,60.3250
宜昌,94.7062,98.6437,65.1750
泰安,94.9813,104.9875,57.7000
江阴,95.5500,103.8000,65.0250
固原,95.6437,125.8563,43.4625
定西,95.7313,121.7188,50.4312
昌吉,95.7562,103.6625,61.0688
扬州,95.7812,118.2812,59.6875
芜湖,95.7812,74.5312,63.0938
包头,96.2188,128.1438,43.4750
呼和浩特,96.3312,135.9313,41.8813
蚌埠,97.4437,101.8438,64.1875
西宁,97.5812,130.6062,50.7563
信阳,97.6688,111.4688,60.1375
金昌,97.9375,134.5750,34.2000
铜川,98.1000,117.4062,57.3875
淮南,98.2000,99.2188,65.4688
东营,98.3625,119.0750,55.6313
吴忠,98.4313,135.6188,47.6313
寿光,98.6188,108.3875,62.9250
淮安,99.0750,103.1250,62.6562
吕梁,99.4125,123.3937,59.3563
济宁,100.1063,121.0750,58.0375
荆门,100.1188,116.2625,66.3438
句容,101.2500,113.5563,64.5500
镇江,101.9813,92.2375,68.9062
章丘,102.0938,124.9750,60.2875
乌海,102.7687,149.8187,47.0625
滨州,102.8250,109.9625,64.8125
宝鸡,102.9875,125.3500,62.6125
临沂,103.0875,122.2125,61.0063
石嘴山,103.1312,140.8562,51.1562
自贡,103.4062,102.1875,72.9813
潍坊,104.0062,126.7375,62.4875
宿迁,104.0187,95.4938,69.6937
淄博,104.0687,121.9000,63.3875
沧州,104.3500,118.6875,65.4375
兰州,104.5438,148.8125,52.6750
白银,104.6125,153.3375,44.5438
朔州,104.7500,140.6250,48.6875
宿州,104.8250,108.7875,69.6063
淮北,104.8250,110.1875,67.5938
晋中,105.0000,134.7500,59.6125
中卫,105.3438,152.7812,44.8375
济南,105.3750,128.5875,59.4937
长治,105.9625,120.6500,64.2438
唐山,106.3250,129.6813,65.7125
忻州,106.7625,127.0438,62.1938
衡水,106.7750,117.5187,68.8187
德州,106.8187,126.7000,62.1875
武威,107.5125,151.0188,50.8813
驻马店,107.9000,127.4250,67.8000
鹤壁,108.1250,133.0188,64.5250
酒泉,108.8438,170.7500,39.1313
聊城,109.2250,133.3938,68.1437
新乡,109.5125,128.1438,67.9875
亳州,110.1625,118.3312,71.3063
莱芜,110.1937,126.5375,69.8875
周口,110.2687,129.7063,64.2188
南阳,110.4750,120.2188,71.4625
枣庄,110.8312,138.8812,69.4688
襄阳,111.0563,108.4500,73.3937
漯河,112.1750,130.3125,67.9625
菏泽,112.2062,139.4688,64.7000
洛阳,112.4875,136.3000,69.6375
石河子,112.5312,109.2938,76.1000
阳泉,112.6000,138.1562,69.3812
濮阳,112.6500,120.9000,71.2687
保定,112.8438,127.8438,72.2750
太原,113.3688,149.6000,63.9375
三门峡,114.0625,125.3500,68.0062
乌鲁木齐,114.4688,126.1125,70.4250
平顶山,114.5750,131.7000,74.3750
商丘,114.7687,128.7438,72.2062
运城,117.0438,139.8688,73.5875
焦作,119.0125,143.3812,77.3187
开封,119.4125,126.2500,72.1813
许昌,119.7062,130.9938,73.0375
晋城,120.8063,145.5062,74.3750
徐州,122.7375,127.5875,84.4000
郑州,123.2875,139.4000,77.2375
西安,124.0938,148.8688,78.0500
临汾,124.2313,147.4812,85.9000
石家庄,124.3125,155.1062,81.5500
渭南,125.7125,171.2000,70.4813
五家渠,126.3187,141.8875,84.8438
邯郸,127.1562,153.8562,82.7375
安阳,128.7250,144.3375,84.0563
邢台,129.4563,159.9313,83.1750
吐鲁番,134.1312,208.6438,68.1688
咸阳,135.1312,162.9750,86.2812
库尔勒,161.3063,240.2937,67.5187
克州,192.4812,387.4250,86.3688
阿克苏,208.3875,382.2937,100.9813
喀什,232.6813,491.6062,134.5813
和田,279.4062,632.1063,169.3250
