,城市,日期,AQI
53731,兰州,2014-5-17,77
53732,兰州,2014-5-18,111
53733,兰州,2014-5-19,56
53734,兰州,2014-5-20,103
53735,兰州,2014-5-21,68
53736,兰州,2014-5-22,66
53737,兰州,2014-5-23,76
53738,兰州,2014-5-24,205
53739,兰州,2014-5-25,232
53740,兰州,2014-5-26,125
53741,兰州,2014-5-27,85
53742,兰州,2014-5-28,96
53743,兰州,2014-5-29,88
53744,兰州,2014-5-30,66
53745,兰州,2014-5-31,70
53746,兰州,2014-6-1,83
53747,兰州,2014-6-2,85
53748,兰州,2014-6-3,84
53749,兰州,2014-6-4,78
53750,兰州,2014-6-5,80
53751,兰州,2014-6-6,72
53752,兰州,2014-6-7,92
53753,兰州,2014-6-8,74
53754,兰州,2014-6-9,64
53755,兰州,2014-6-10,68
53756,兰州,2014-6-11,82
53757,兰州,2014-6-12,66
53758,兰州,2014-6-13,81
53759,兰州,2014-6-14,115
53760,兰州,2014-6-15,83
53761,兰州,2014-6-16,74
53762,兰州,2014-6-17,93
53763,兰州,2014-6-18,74
53764,兰州,2014-6-19,59
53765,兰州,2014-6-20,75
53766,兰州,2014-6-21,89
53767,兰州,2014-6-22,82
53768,兰州,2014-6-23,68
53769,兰州,2014-6-24,62
53770,兰州,2014-6-25,106
53771,兰州,2014-6-26,92
53772,兰州,2014-6-27,97
53773,兰州,2014-6-28,60
53774,兰州,2014-6-29,69
53775,兰州,2014-6-30,77
53776,兰州,2014-7-1,78
53777,兰州,2014-7-2,86
53778,兰州,2014-7-3,59
53779,兰州,2014-7-4,84
53780,兰州,2014-7-5,78
53781,兰州,2014-7-6,68
53782,兰州,2014-7-7,107
53783,兰州,2014-7-8,60
53784,兰州,2014-7-9,47
53785,兰州,2014-7-10,59
53786,兰州,2014-7-11,85
53787,兰州,2014-7-12,90
53788,兰州,2014-7-13,68
53789,兰州,2014-7-14,73
53790,兰州,2014-7-15,73
53791,兰州,2014-7-16,68
53792,兰州,2014-7-17,69
53793,兰州,2014-7-18,61
53794,兰州,2014-7-19,58
53795,兰州,2014-7-20,49
53796,兰州,2014-7-21,63
53797,兰州,2014-7-22,54
53798,兰州,2014-7-23,65
53799,兰州,2014-7-24,85
53800,兰州,2014-7-25,95
53801,兰州,2014-7-26,82
53802,兰州,2014-7-27,60
53803,兰州,2014-7-28,72
53804,兰州,2014-7-29,80
53805,兰州,2014-7-30,80
53806,兰州,2014-7-31,74
53807,兰州,2014-8-1,71
53808,兰州,2014-8-2,105
53809,兰州,2014-8-3,72
53810,兰州,2014-8-4,51
53811,兰州,2014-8-5,84
53812,兰州,2014-8-6,39
53813,兰州,2014-8-7,70
53814,兰州,2014-8-9,81
53815,兰州,2014-8-10,91
53816,兰州,2014-8-11,55
53817,兰州,2014-8-12,55
53818,兰州,2014-8-13,60
53819,兰州,2014-8-14,68
53820,兰州,2014-8-15,84
53821,兰州,2014-8-16,78
53822,兰州,2014-8-17,64
53823,兰州,2014-8-18,86
53824,兰州,2014-8-19,79
53825,兰州,2014-8-20,72
53826,兰州,2014-8-21,91
53827,兰州,2014-8-23,79
53828,兰州,2014-8-24,67
53829,兰州,2014-8-25,81
53830,兰州,2014-8-26,69
53831,兰州,2014-8-27,91
53832,兰州,2014-8-28,60
53833,兰州,2014-8-29,57
53834,兰州,2014-8-30,52
53835,兰州,2014-8-31,73
53836,兰州,2014-9-1,62
53837,兰州,2014-9-2,66
53838,兰州,2014-9-3,88
53839,兰州,2014-9-4,86
53840,兰州,2014-9-5,69
53841,兰州,2014-9-6,62
53842,兰州,2014-9-7,64
53843,兰州,2014-9-8,105
53844,兰州,2014-9-9,123
53845,兰州,2014-9-10,62
53846,兰州,2014-9-11,44
53847,兰州,2014-9-12,74
53848,兰州,2014-9-13,121
53849,兰州,2014-9-14,55
53850,兰州,2014-9-15,49
53851,兰州,2014-9-16,41
53852,兰州,2014-9-17,61
53853,兰州,2014-9-18,82
53854,兰州,2014-9-19,82
53855,兰州,2014-9-20,75
53856,兰州,2014-9-21,51
53857,兰州,2014-9-22,42
53858,兰州,2014-9-23,62
53859,兰州,2014-9-24,89
53860,兰州,2014-9-25,68
53861,兰州,2014-9-26,77
53862,兰州,2014-9-27,94
53863,兰州,2014-9-28,75
53864,兰州,2014-9-29,90
53865,兰州,2014-9-30,64
53866,兰州,2014-10-1,65
53867,兰州,2014-10-2,99
53868,兰州,2014-10-3,92
53869,兰州,2014-10-4,60
53870,兰州,2014-10-5,77
53871,兰州,2014-10-6,72
53872,兰州,2014-10-7,75
53873,兰州,2014-10-8,85
53874,兰州,2014-10-9,57
53875,兰州,2014-10-10,76
53876,兰州,2014-10-11,29
53877,兰州,2014-10-12,41
53878,兰州,2014-10-13,71
53879,兰州,2014-10-14,107
53880,兰州,2014-10-15,92
53881,兰州,2014-10-16,81
53882,兰州,2014-10-17,134
53883,兰州,2014-10-18,124
53884,兰州,2014-10-19,76
53885,兰州,2014-10-20,74
53886,兰州,2014-10-21,64
53887,兰州,2014-10-22,89
53888,兰州,2014-10-23,98
53889,兰州,2014-10-24,98
53890,兰州,2014-10-25,81
53891,兰州,2014-10-26,86
53892,兰州,2014-10-27,68
53893,兰州,2014-10-28,41
53894,兰州,2014-10-29,70
53895,兰州,2014-10-30,43
53896,兰州,2014-10-31,39
53897,兰州,2014-11-1,46
53898,兰州,2014-11-2,86
53899,兰州,2014-11-3,129
53900,兰州,2014-11-4,106
53901,兰州,2014-11-5,111
53902,兰州,2014-11-6,122
53903,兰州,2014-11-7,101
53904,兰州,2014-11-8,104
53905,兰州,2014-11-9,65
53906,兰州,2014-11-10,79
53907,兰州,2014-11-11,81
53908,兰州,2014-11-12,67
53909,兰州,2014-11-13,118
53910,兰州,2014-11-14,98
