城市,AQI,PM10,PM2.5
阿坝,31.9451,21.4368,9.4725
三亚,34.3242,27.1923,14.3984
黔西南,37.7060,38.2253,15.5110
大兴安岭,38.5110,32.8324,17.1841
海口,39.6703,36.2005,19.0632
林芝,40.1099,30.8214,10.1951
伊春,40.6099,34.6566,20.7033
迪庆,41.2940,36.2885,9.9451
丽江,42.2088,33.0907,13.9835
南平,42.3104,35.3214,22.0027
甘孜,42.5000,31.6484,17.9725
文山,42.8187,39.1319,22.1813
怒江,42.8352,42.3846,19.2665
临沧,43.2940,39.9286,23.6731
黑河,43.4038,39.2995,21.2060
楚雄,43.4341,39.3132,21.8187
凉山,44.0604,35.1703,21.6593
大理,44.1484,30.7060,22.6181
阿勒泰,45.1676,27.2060,12.3709
龙岩,45.2418,42.6484,24.0495
三明,45.3159,42.1456,25.5962
黔南,45.6511,40.9368,24.3352
呼伦贝尔,46.0247,41.8324,19.0412
深圳,46.3077,43.8901,27.1566
保山,46.3709,37.9451,23.8049
普洱,46.6071,45.9203,27.7225
西双版纳,46.7995,47.5412,24.6703
厦门,46.8626,45.0412,25.5027
兴安盟,47.2198,44.3709,19.3132
玉溪,47.3462,46.3324,22.0440
黔东南,47.4423,44.9945,30.5714
塔城,48.1566,40.7692,15.8819
珠海,48.2452,43.6694,28.6777
梅州,48.5522,46.4698,28.5879
汕尾,48.6456,43.3049,26.7995
茂名,48.9780,48.1099,28.5659
山南,49.0577,30.2308,10.4505
安顺,49.2115,43.5549,29.2692
湛江,49.2692,42.1319,28.2005
日喀则,49.3407,37.8819,13.8626
宁德,49.3489,43.5824,25.8049
德宏,49.3654,45.2390,29.3214
防城港,49.6648,45.2665,29.7665
北海,49.7830,44.1923,28.5220
锡林郭勒,49.9203,46.0137,14.3077
河源,50.2198,48.3956,29.7390
黄山,51.1374,51.3736,25.2885
汕头,51.1538,49.1703,27.8681
昆明,51.1731,54.5659,26.5632
惠州,51.3599,51.0357,28.6813
潮州,51.3901,48.5247,29.3846
福州,51.7308,49.9066,25.4396
贵阳,51.7473,52.0879,31.1319
莆田,51.7802,42.2418,26.1154
崇左,52.5302,46.7473,31.4973
巴中,52.6896,50.2995,31.0962
红河,52.8077,51.8434,32.8956
阿里,53.0055,26.9286,12.6538
曲靖,53.0247,53.8324,27.5110
海门,53.2912,51.7775,30.9615
遵义,53.3159,54.7060,32.1813
玉树,53.3453,44.4254,18.3232
昌都,53.6401,50.5824,18.9505
舟山,53.6676,43.9890,23.9066
泉州,53.6868,49.1484,25.4093
阳江,53.8352,46.3984,32.3407
河池,54.3846,53.8654,32.6291
南宁,54.5027,55.4698,34.3187
拉萨,54.5467,52.8984,18.3846
广元,55.0385,59.0604,21.4615
毕节,55.0412,52.0989,31.9231
中山,55.0714,47.3929,32.2912
丽水,55.4341,49.9368,32.2775
延边,55.5385,45.5769,29.8984
鹤岗,55.8791,57.8104,30.4725
揭阳,56.2143,54.4835,33.2912
钦州,56.2308,54.6703,34.8159
云浮,56.2995,52.6566,35.6758
广州,56.4203,55.2005,34.0549
铜仁,56.5302,65.3599,22.9863
陇南,56.7225,56.4478,28.3489
台州,57.4643,58.5495,32.2033
荣成,57.9231,51.2363,24.2830
湘西,58.0220,62.3489,34.1593
东莞,58.0467,50.8599,36.2582
黄南,58.1429,53.6209,32.6264
韶关,58.2857,53.0495,37.2308
玉林,58.2885,56.0714,37.7005
白城,58.3736,58.6896,30.8407
海南,58.5714,56.3077,26.2610
攀枝花,58.7857,65.7143,33.1044
昭通,58.8623,57.7135,30.5785
乳山,59.0385,52.9725,26.2005
佳木斯,59.2115,54.6621,36.7637
海北,59.4160,53.2066,27.4242
双鸭山,59.6841,60.0522,39.0522
景德镇,59.8324,62.9423,38.0412
清远,59.9093,57.8599,35.4368
梧州,60.0110,61.0165,40.4780
漳州,60.1703,62.8104,34.2390
大庆,60.2115,59.3434,33.7637
文登,60.3571,52.4038,25.8242
鹰潭,60.9423,55.0824,38.8187
娄底,60.9505,63.0385,38.0989
丹东,60.9945,60.7115,34.4451
通化,61.0165,61.2775,34.4286
牡丹江,61.5549,65.2088,35.2390
肇庆,61.6154,57.5357,38.9038
温州,61.7665,64.2500,37.1071
威海,61.9725,56.7280,28.3077
江门,62.1126,61.2637,36.2198
义乌,62.1154,61.9753,37.6896
