城市,AQI,PM10,PM2.5
成都,92.0506,102.9625,62.2338
哈尔滨,92.1553,94.0000,63.2082
镇江,92.2576,94.5306,60.6871
包头,92.3379,118.2885,49.3605
酒泉,92.6940,130.5753,40.7363
乌海,92.7347,121.1267,47.6255
朔州,93.0303,105.1275,52.1020
江阴,93.0631,96.8367,64.2381
忻州,93.0669,105.7506,59.0502
亳州,93.3357,95.0687,61.6395
兰州,93.4253,124.9096,52.0553
沈阳,93.5540,101.9785,60.5272
铜川,93.5883,107.9304,58.7656
淮安,93.9566,97.6014,60.9096
淮北,94.0502,96.7809,61.3227
宿迁,94.0523,98.7924,62.6889
石嘴山,94.1923,119.3797,48.5461
晋中,95.2900,111.9155,59.5187
宿州,95.5665,91.9355,65.7960
合肥,95.5741,92.5265,66.1404
荆州,96.6902,111.5127,67.1107
宝鸡,97.3694,113.1898,62.3432
武汉,97.7061,100.2290,66.4188
晋城,98.0845,116.8574,61.6215
宜昌,98.8207,107.1286,69.3482
自贡,98.8801,101.7934,70.9669
长治,99.9198,112.0263,65.9575
太原,100.8816,124.8840,63.9964
南阳,100.8908,120.3474,64.3936
襄阳,101.1041,96.8743,68.6365
临汾,102.1640,111.7840,70.8947
驻马店,102.1976,117.9705,66.2518
运城,102.6494,114.7219,68.0908
阳泉,102.8738,129.9833,62.8167
徐州,103.5283,122.6371,67.7287
章丘,104.3901,120.9839,65.9820
周口,104.7116,117.8845,69.0016
泰安,104.9625,119.5015,68.3819
鹤壁,106.0422,125.3801,68.1203
商丘,106.2845,122.1203,70.9179
三门峡,106.6427,120.6272,68.1437
洛阳,108.3401,126.7161,72.5207
潍坊,108.5199,131.9816,68.8578
许昌,108.5243,120.5267,70.4582
东营,108.7365,129.3914,69.0803
漯河,108.9283,126.2972,72.1753
沧州,109.4123,120.9839,73.4926
五家渠,109.4709,115.6725,71.4072
开封,110.2820,122.9499,73.2294
滨州,110.5866,122.8073,76.4866
寿光,111.2884,123.8067,74.2225
西安,111.4729,139.9578,71.9994
濮阳,111.7689,129.5761,72.4295
渭南,111.8281,138.1208,71.3807
济宁,112.0541,132.5860,75.1838
廊坊,112.9203,128.5800,75.9268
平顶山,114.3445,131.6691,78.3216
咸阳,114.3575,136.2380,75.3129
乌鲁木齐,114.4301,134.4134,71.8620
临沂,114.9893,142.6217,74.9786
焦作,116.1880,137.8120,80.1577
新乡,116.3777,137.8454,79.0542
莱芜,117.1606,134.8430,81.1725
淄博,117.6190,144.5725,80.1202
唐山,118.1107,139.5405,81.0190
枣庄,118.8638,150.0143,80.5663
济南,119.8845,153.0643,79.1817
吐鲁番,121.4285,161.7282,66.9065
郑州,123.0869,147.1249,83.0470
库尔勒,124.5516,186.6611,55.6735
安阳,125.2542,145.1367,86.9425
菏泽,126.0000,150.6734,86.8334
聊城,127.7543,157.0970,89.5699
德州,128.1364,148.6426,88.5080
衡水,134.2844,161.3902,92.1374
邯郸,134.6810,169.0976,94.2744
石家庄,137.7918,173.0167,97.8084
克州,140.6795,202.6386,60.5569
保定,141.7543,170.0226,101.3177
邢台,143.1826,180.2332,101.2588
阿克苏,153.4278,238.7466,82.0928
喀什,192.6962,349.5380,125.3477
和田,200.9856,348.1103,107.2446
