城市,日期,AQI
益阳,2017-12-28,125
盐城,2017-12-28,47
盘锦,2017-12-28,118
眉山,2017-12-28,180
石嘴山,2017-12-28,163
石家庄,2017-12-28,201
石河子,2017-12-28,28
福州,2017-12-28,60
秦皇岛,2017-12-28,88
章丘,2017-12-28,157
红河,2017-12-28,46
绍兴,2017-12-28,103
绥化,2017-12-28,49
绵阳,2017-12-28,155
聊城,2017-12-28,240
肇庆,2017-12-28,148
胶南,2017-12-28,55
胶州,2017-12-28,65
自贡,2017-12-28,223
舟山,2017-12-28,35
芜湖,2017-12-28,140
苏州,2017-12-28,45
茂名,2017-12-28,110
荆州,2017-12-28,161
荆门,2017-12-28,193
荣成,2017-12-28,46
莆田,2017-12-28,51
莱州,2017-12-28,75
莱芜,2017-12-28,146
莱西,2017-12-28,91
菏泽,2017-12-28,219
萍乡,2017-12-28,158
营口,2017-12-28,156
葫芦岛,2017-12-28,114
蓬莱,2017-12-28,76
蚌埠,2017-12-28,154
衡水,2017-12-28,230
衡阳,2017-12-28,173
衢州,2017-12-28,147
襄阳,2017-12-28,325
西双版纳,2017-12-28,55
西宁,2017-12-28,147
西安,2017-12-28,355
许昌,2017-12-28,210
贵港,2017-12-28,168
贵阳,2017-12-28,64
贺州,2017-12-28,148
资阳,2017-12-28,114
赣州,2017-12-28,118
赤峰,2017-12-28,173
辽源,2017-12-28,127
辽阳,2017-12-28,100
达州,2017-12-28,264
运城,2017-12-28,270
连云港,2017-12-28,41
迪庆,2017-12-28,50
通化,2017-12-28,80
通辽,2017-12-28,110
遂宁,2017-12-28,104
遵义,2017-12-28,114
邢台,2017-12-28,200
那曲,2017-12-28,98
邯郸,2017-12-28,226
邵阳,2017-12-28,201
郑州,2017-12-28,271
郴州,2017-12-28,135
鄂尔多斯,2017-12-28,99
鄂州,2017-12-28,147
酒泉,2017-12-28,289
金华,2017-12-28,102
金坛,2017-12-28,77
金昌,2017-12-28,286
钦州,2017-12-28,89
铁岭,2017-12-28,118
铜仁,2017-12-28,102
铜川,2017-12-28,214
铜陵,2017-12-28,133
银川,2017-12-28,100
锡林郭勒,2017-12-28,65
锦州,2017-12-28,119
镇江,2017-12-28,107
长春,2017-12-28,108
长沙,2017-12-28,118
长治,2017-12-28,170
阜新,2017-12-28,113
阜阳,2017-12-28,179
防城港,2017-12-28,67
阳江,2017-12-28,165
阳泉,2017-12-28,187
阿克苏,2017-12-28,221
阿勒泰,2017-12-28,31
阿坝,2017-12-28,34
阿拉善盟,2017-12-28,85
阿里,2017-12-28,41
陇南,2017-12-28,121
随州,2017-12-28,144
雅安,2017-12-28,214
青岛,2017-12-28,56
鞍山,2017-12-28,118
韶关,2017-12-28,131
马鞍山,2017-12-28,113
驻马店,2017-12-28,248
鸡西,2017-12-28,31
鹤壁,2017-12-28,192
鹤岗,2017-12-28,38
鹰潭,2017-12-28,118
黄冈,2017-12-28,154
黄南,2017-12-28,53
黄山,2017-12-28,74
黄石,2017-12-28,137
黑河,2017-12-28,35
黔东南,2017-12-28,68
黔南,2017-12-28,52
黔西南,2017-12-28,33
齐齐哈尔,2017-12-28,89
龙岩,2017-12-28,64
