城市,日期,质量等级,AQI,AQI排名,PM2.5,PM10,So2,No2,Co,O3
兰州,2014-2-6,良,77,136,46,103,20,14,1,34
兰州,2014-2-7,轻度污染,106,151,61,160,23,21,1,35
兰州,2014-2-8,良,93,142,66,123,23,15,1,45
兰州,2014-2-9,优,48,78,31,46,15,12,1,51
兰州,2014-2-10,良,80,145,58,72,19,24,1,40
兰州,2014-2-11,良,87,108,64,86,20,24,1,41
兰州,2014-2-12,良,69,42,49,70,15,19,1,47
兰州,2014-2-13,良,99,103,74,94,20,30,1,39
兰州,2014-2-14,轻度污染,118,100,88,111,30,45,2,44
兰州,2014-2-15,轻度污染,103,57,77,102,43,45,2,34
兰州,2014-2-16,良,92,93,68,83,29,37,2,35
兰州,2014-2-17,良,99,127,74,89,38,45,1,47
兰州,2014-2-18,良,97,154,66,101,43,52,2,36
兰州,2014-2-19,良,79,79,53,98,49,69,2,31
兰州,2014-2-20,良,98,91,72,138,47,71,3,26
兰州,2014-2-21,良,89,48,65,109,38,64,2,53
兰州,2014-2-22,良,99,55,74,120,33,55,2,45
兰州,2014-2-23,良,100,57,74,123,33,51,2,35
兰州,2014-2-24,良,87,42,63,103,26,44,1,36
兰州,2014-2-25,轻度污染,105,84,66,135,23,41,2,38
兰州,2014-2-26,中度污染,170,143,160,184,15,21,1,64
兰州,2014-2-27,良,93,103,40,135,25,56,1,27
兰州,2014-2-28,良,92,150,32,133,20,26,1,57
兰州,2014-3-1,良,94,142,41,136,29,42,1,53
兰州,2014-3-2,良,85,87,40,118,22,37,1,53
兰州,2014-3-3,良,88,97,42,123,18,34,1,47
兰州,2014-3-4,良,86,121,29,121,20,39,1,50
兰州,2014-3-5,轻度污染,105,153,38,147,25,40,1,66
兰州,2014-3-6,良,94,146,41,124,34,44,1,86
兰州,2014-3-7,良,88,136,47,102,24,34,1,92
兰州,2014-3-8,轻度污染,105,132,62,146,30,56,1,97
兰州,2014-3-9,轻度污染,109,130,69,164,41,73,2,38
兰州,2014-3-10,轻度污染,101,98,64,148,35,60,2,31
兰州,2014-3-11,良,91,67,33,131,21,26,1,45
兰州,2014-3-12,良,85,101,27,120,18,18,0,55
兰州,2014-3-13,良,94,147,44,137,31,56,1,34
兰州,2014-3-14,轻度污染,120,171,64,189,41,75,2,30
兰州,2014-3-15,轻度污染,130,155,79,204,53,87,2,33
兰州,2014-3-16,轻度污染,114,106,66,172,41,64,2,40
兰州,2014-3-17,轻度污染,107,77,46,163,24,42,1,41
兰州,2014-3-18,轻度污染,130,90,66,208,35,56,1,49
